question_id,mean_distance_a,relevance_score,hallucination_index_by_equation,hallucination_index_by_ml,vector_distances,vector_scores,bm25_scores,rerank_sentiments
131,132.16,98.0,0,23.0,"[98.749, 101.358, 102.41, 162.708, 102.41]","[0.796, 0.79, 0.788, 0.666, 0.788]","[0.177, 0.157, 0.106, 0.099, 0.106]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
132,279.963,85.0,0.0,26.0,"[209.406, 350.52]","[0.572, 0.287]","[0.041, 0.012]","['neutral', 'neutral']"
133,129.218,99.0,0,27.0,"[102.999, 124.936, 159.718]","[0.787, 0.743, 0.672]","[0.149, 0.06, 0.045]","['neutral', 'neutral', 'neutral']"
134,279.675,85.0,1.0,31.0,"[210.363, 231.545, 251.079, 253.74, 264.628, 265.09, 267.357, 268.178, 268.84, 272.37, 279.768, 288.418, 231.545, 268.84, 272.37, 253.74, 288.418, 264.628, 334.109]","[0.57, 0.527, 0.488, 0.482, 0.46, 0.459, 0.455, 0.453, 0.452, 0.445, 0.43, 0.412, 0.527, 0.452, 0.445, 0.482, 0.412, 0.46, 0.32]","[0.031, 0.03, 0.029, 0.029, 0.026, 0.021, 0.021, 0.019, 0.006, 0.005, 0.005, 0.004, 0.03, 0.006, 0.005, 0.029, 0.004, 0.026, 0.0]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
135,172.14,95.0,0,24.0,"[133.757, 137.816, 147.006, 147.786, 151.879, 154.819, 159.732, 161.64, 163.057, 166.233, 177.505, 133.757, 154.819, 137.816, 147.006, 163.057, 151.879]","[0.725, 0.717, 0.698, 0.696, 0.688, 0.682, 0.672, 0.668, 0.666, 0.659, 0.636, 0.725, 0.682, 0.717, 0.698, 0.666, 0.688]","[0.195, 0.083, 0.062, 0.052, 0.048, 0.047, 0.043, 0.039, 0.036, 0.036, 0.035, 0.195, 0.047, 0.083, 0.062, 0.036, 0.048]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
136,179.19,93.0,0,25.0,"[86.764, 87.247, 139.004, 236.926, 250.768, 250.768]","[0.82, 0.819, 0.714, 0.516, 0.488, 0.488]","[0.238, 0.233, 0.204, 0.032, 0.005, 0.005]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
137,152.85,97.0,0,29.0,"[119.893, 133.742, 135.849, 136.503, 137.692, 138.426, 119.893, 133.742, 137.692, 138.426, 197.327, 200.264]","[0.753, 0.725, 0.721, 0.719, 0.717, 0.715, 0.753, 0.725, 0.717, 0.715, 0.596, 0.59]","[0.047, 0.043, 0.038, 0.033, 0.026, 0.024, 0.047, 0.043, 0.026, 0.024, 0.014, 0.005]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
138,224.683,90.0,0,25.0,"[188.752, 191.337, 196.24, 200.486, 208.888, 209.018, 214.462, 224.113, 214.462, 188.752, 196.24, 224.113]","[0.614, 0.608, 0.598, 0.59, 0.573, 0.573, 0.562, 0.542, 0.562, 0.614, 0.598, 0.542]","[0.09, 0.077, 0.075, 0.073, 0.065, 0.05, 0.034, 0.021, 0.034, 0.09, 0.075, 0.021]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
140,327.577,80.0,6.0,40.0,"[284.682, 289.608, 302.098, 316.875, 321.172, 342.987, 349.858, 321.172, 289.608]","[0.42, 0.41, 0.384, 0.355, 0.346, 0.302, 0.288, 0.346, 0.41]","[0.005, 0.005, 0.005, 0.004, 0.003, 0.003, 0.003, 0.003, 0.005]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
141,292.817,84.0,0,39.0,"[257.384, 263.961, 265.396, 269.385, 273.227, 277.108, 284.378, 290.763, 290.784, 257.384, 277.108, 284.378, 265.396, 290.763, 269.385, 348.914]","[0.475, 0.462, 0.459, 0.451, 0.443, 0.435, 0.42, 0.407, 0.407, 0.475, 0.435, 0.42, 0.459, 0.407, 0.451, 0.29]","[0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.001]","['neutral', 'contradiction', 'neutral', 'neutral', 'neutral', 'neutral', 'contradiction', 'neutral', 'neutral', 'neutral', 'neutral', 'contradiction', 'neutral', 'neutral', 'neutral', 'neutral']"
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
143,229.752,88.0,0,27.0,"[154.802, 183.369, 228.403, 233.577, 244.331, 334.033]","[0.682, 0.624, 0.533, 0.523, 0.501, 0.32]","[0.195, 0.185, 0.164, 0.119, 0.049, 0.048]","['contradiction', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
144,135.155,98.0,0,23.0,"[94.591, 104.078, 104.939, 133.543, 178.647, 195.134]","[0.804, 0.785, 0.783, 0.725, 0.634, 0.601]","[0.148, 0.113, 0.091, 0.079, 0.036, 0.035]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
145,152.398,96.0,0,27.0,"[121.849, 136.221, 149.539, 155.335, 158.885, 159.91, 185.047]","[0.749, 0.72, 0.693, 0.681, 0.674, 0.672, 0.621]","[0.141, 0.113, 0.09, 0.074, 0.056, 0.055, 0.043]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
146,180.653,92.0,0,28.0,"[94.793, 97.593, 136.345, 183.483, 221.583, 94.793]","[0.804, 0.798, 0.72, 0.624, 0.547, 0.804]","[0.294, 0.218, 0.146, 0.108, 0.069, 0.294]","['contradiction', 'neutral', 'contradiction', 'contradiction', 'neutral', 'contradiction']"
147,185.744,94.0,0,27.0,"[137.313, 168.477, 183.925, 184.828, 137.313, 168.477, 183.925, 217.559]","[0.718, 0.655, 0.623, 0.622, 0.718, 0.655, 0.623, 0.555]","[0.034, 0.033, 0.032, 0.03, 0.034, 0.033, 0.032, 0.002]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
148,153.242,97.0,0,31.0,"[119.143, 120.234, 123.752, 132.051, 145.074, 145.259, 152.941, 145.259, 120.234, 123.752, 152.941, 145.074, 201.996]","[0.754, 0.752, 0.745, 0.728, 0.702, 0.702, 0.686, 0.702, 0.752, 0.745, 0.686, 0.702, 0.587]","[0.057, 0.029, 0.027, 0.026, 0.024, 0.022, 0.022, 0.022, 0.029, 0.027, 0.022, 0.024, 0.006]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
149,140.26,98.0,0,26.0,"[100.754, 121.543, 123.13, 135.262, 135.765, 100.754, 138.863, 139.909, 145.093, 147.806, 149.256, 138.863, 123.13, 135.765]","[0.792, 0.749, 0.746, 0.722, 0.721, 0.792, 0.714, 0.712, 0.702, 0.696, 0.693, 0.714, 0.746, 0.721]","[0.149, 0.102, 0.102, 0.098, 0.096, 0.149, 0.06, 0.06, 0.048, 0.047, 0.033, 0.06, 0.102, 0.096]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
150,215.812,90.0,0,26.0,"[97.641, 185.546, 185.546, 323.541]","[0.798, 0.62, 0.62, 0.341]","[0.149, 0.057, 0.057, 0.028]","['neutral', 'neutral', 'neutral', 'neutral']"
151,233.249,89.0,0,35.0,"[195.877, 206.144, 227.759, 195.877, 206.144, 227.759]","[0.599, 0.578, 0.535, 0.599, 0.578, 0.535]","[0.028, 0.028, 0.013, 0.028, 0.028, 0.013]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
152,165.81,95.0,0,24.0,"[110.343, 122.32, 134.399, 136.377, 152.561, 110.343, 122.32, 134.399, 136.377, 152.561, 240.535]","[0.772, 0.748, 0.724, 0.72, 0.687, 0.772, 0.748, 0.724, 0.72, 0.687, 0.509]","[0.144, 0.114, 0.085, 0.066, 0.064, 0.144, 0.114, 0.085, 0.066, 0.064, 0.015]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
153,270.717,86.0,0,33.0,"[247.992, 251.658, 247.992]","[0.494, 0.486, 0.494]","[0.005, 0.004, 0.005]","['neutral', 'neutral', 'neutral']"
154,186.861,94.0,0,27.0,"[162.649, 169.345, 185.066, 195.457, 221.787]","[0.666, 0.653, 0.621, 0.6, 0.547]","[0.068, 0.035, 0.029, 0.027, 0.01]","['contradiction', 'neutral', 'neutral', 'neutral', 'neutral']"
155,347.822,78.0,11.0,40.0,"[294.514, 294.514, 402.741]","[0.4, 0.4, 0.181]","[0.042, 0.042, 0.003]","['neutral', 'neutral', 'neutral']"
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
157,244.983,88.0,0,33.0,"[192.987, 207.972, 213.305, 223.298, 226.65, 260.133, 192.987, 207.972, 223.298]","[0.605, 0.575, 0.564, 0.544, 0.537, 0.469, 0.605, 0.575, 0.544]","[0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
158,366.772,76.0,13.0,33.0,"[302.803, 334.752, 346.611, 353.768, 362.05, 363.12, 369.515, 373.988, 302.803, 334.752, 346.611, 353.768, 362.05]","[0.383, 0.318, 0.294, 0.28, 0.263, 0.261, 0.248, 0.239, 0.383, 0.318, 0.294, 0.28, 0.263]","[0.044, 0.002, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.044, 0.002, 0.001, 0.001, 0.001]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
159,224.392,89.0,0,26.0,"[158.593, 158.593]","[0.675, 0.675]","[0.131, 0.131]","['neutral', 'neutral']"
160,282.888,85.0,0,27.0,"[170.951, 258.366, 294.525, 304.357, 308.768, 360.363]","[0.65, 0.473, 0.4, 0.38, 0.371, 0.267]","[0.052, 0.011, 0.011, 0.009, 0.007, 0.004]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
161,389.471,73.0,12.0,29.0,"[361.584, 378.229, 380.339, 384.995, 390.947, 394.137, 402.174, 405.146, 407.684]","[0.264, 0.23, 0.226, 0.217, 0.205, 0.198, 0.182, 0.176, 0.171]","[0.097, 0.051, 0.046, 0.043, 0.041, 0.028, 0.01, 0.002, 0.001]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
162,291.467,84.0,6.0,37.0,"[291.467]","[0.406]","[0.02]","['neutral']"
163,362.51,77.0,10.0,35.0,"[250.598, 282.11, 407.626, 414.722, 250.598]","[0.489, 0.425, 0.171, 0.157, 0.489]","[0.03, 0.017, 0.0, 0.0, 0.03]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
