QID,pubmed_id,mean_distance_a,relevance_score,hallucination_index,vector_distances,vector_scores,bm25_scores,rerank_sentiments
115,2411.16245v2,256.879,20.0,80.0,"[177.861, 198.164, 198.597, 200.323, 209.373, 284.71, 177.861, 198.164, 198.597, 200.323, 209.373, 284.71]","[0.46, 0.393, 0.392, 0.386, 0.356, 0.109, 0.46, 0.393, 0.392, 0.386, 0.356, 0.109]","[0.584, 0.353, 0.321, 0.273, 0.241, 0.12, 0.584, 0.353, 0.321, 0.273, 0.241, 0.12]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
116,2408.07372v2,250.916,22.0,73.0,"[175.38, 177.151, 181.908, 214.89, 221.675, 175.38, 177.151, 181.908, 214.89, 221.675, 305.858, 307.047, 331.38]","[0.468, 0.462, 0.447, 0.338, 0.316, 0.468, 0.462, 0.447, 0.338, 0.316, 0.039, 0.035, -0.045]","[0.603, 0.472, 0.346, 0.219, 0.187, 0.603, 0.472, 0.346, 0.219, 0.187, 0.036, 0.0, 0.0]","['contradiction', 'neutral', 'neutral', 'neutral', 'neutral', 'contradiction', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
117,2410.14997v2,237.82,26.0,62.0,"[179.278, 185.42, 208.882, 218.687, 226.448, 231.949, 185.42, 231.949, 321.307]","[0.455, 0.435, 0.358, 0.326, 0.3, 0.282, 0.435, 0.282, -0.011]","[0.081, 0.062, 0.061, 0.055, 0.045, 0.04, 0.062, 0.04, 0.008]","['neutral', 'contradiction', 'neutral', 'neutral', 'neutral', 'neutral', 'contradiction', 'neutral', 'neutral']"
118,2410.20812v3,325.093,0,86.0,"[232.179, 269.583, 289.724, 296.291, 322.527, 323.042, 325.828, 333.062, 323.042, 232.179, 269.583, 289.724, 325.828, 399.707]","[0.281, 0.159, 0.092, 0.071, -0.015, -0.017, -0.026, -0.05, -0.017, 0.281, 0.159, 0.092, -0.026, -0.269]","[0.419, 0.084, 0.067, 0.044, 0.035, 0.029, 0.024, 0.017, 0.029, 0.419, 0.084, 0.067, 0.024, 0.0]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
119,2405.20936v5,250.657,22.0,62.0,"[191.066, 204.187, 209.2, 240.742, 209.2, 191.066, 259.23, 302.35, 338.699]","[0.417, 0.373, 0.357, 0.253, 0.357, 0.417, 0.193, 0.051, -0.069]","[0.225, 0.106, 0.091, 0.056, 0.091, 0.225, 0.023, 0.021, 0.014]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'contradiction']"
120,2410.05459v2,317.147,0.0,84.0,"[293.714, 295.076, 295.076, 304.408, 312.641, 342.254, 371.276]","[0.079, 0.075, 0.075, 0.044, 0.017, -0.08, -0.176]","[0.152, 0.035, 0.035, 0.026, 0.024, 0.018, 0.018]","['neutral', 'neutral', 'neutral', 'entailment', 'neutral', 'neutral', 'contradiction']"
121,2412.08070v2,150.523,55.0,37.0,"[108.831, 112.159, 115.317, 140.637, 140.887, 143.796, 143.796, 112.159, 224.777]","[0.687, 0.676, 0.665, 0.582, 0.581, 0.572, 0.572, 0.676, 0.306]","[0.423, 0.387, 0.285, 0.285, 0.284, 0.235, 0.235, 0.387, 0.116]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
122,2401.05657v5,151.097,55.0,32.0,"[117.104, 150.387, 185.801]","[0.66, 0.55, 0.434]","[0.126, 0.115, 0.101]","['neutral', 'neutral', 'neutral']"
123,2412.10128v2,191.648,41.0,48.0,"[117.855, 149.057, 181.179, 194.073, 195.787, 194.073, 149.057]","[0.657, 0.555, 0.449, 0.407, 0.401, 0.407, 0.555]","[0.515, 0.222, 0.195, 0.167, 0.112, 0.167, 0.222]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
124,2409.09862v3,196.694,40.0,48.0,"[113.695, 116.412, 163.823, 178.973, 184.569, 178.973, 113.695, 116.412, 244.533, 255.41, 275.129]","[0.671, 0.662, 0.506, 0.456, 0.438, 0.456, 0.671, 0.662, 0.241, 0.205, 0.14]","[0.389, 0.316, 0.302, 0.229, 0.124, 0.229, 0.389, 0.316, 0.089, 0.051, 0.034]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
125,2411.08909v3,275.265,14.0,88.0,"[151.283, 253.177, 264.364, 278.005, 151.283, 253.177, 264.364, 278.005, 339.959]","[0.547, 0.212, 0.176, 0.131, 0.547, 0.212, 0.176, 0.131, -0.073]","[0.927, 0.195, 0.137, 0.075, 0.927, 0.195, 0.137, 0.075, 0.0]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
126,2410.20812v3,263.897,18.0,68.0,"[208.012, 251.458, 253.406, 260.303, 264.978, 251.458, 260.303, 208.012, 303.222]","[0.361, 0.218, 0.212, 0.189, 0.174, 0.218, 0.189, 0.361, 0.048]","[0.241, 0.227, 0.11, 0.082, 0.062, 0.227, 0.082, 0.241, 0.007]","['contradiction', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'contradiction', 'neutral']"
127,2408.04307v3,344.697,0,82.0,"[218.514, 328.897, 330.61, 341.292, 344.904, 346.381, 367.37, 344.904, 218.514]","[0.326, -0.036, -0.042, -0.077, -0.089, -0.094, -0.163, -0.089, 0.326]","[0.155, 0.135, 0.086, 0.083, 0.047, 0.01, 0.002, 0.047, 0.155]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
128,2412.15929v3,259.925,19.0,77.0,"[163.342, 180.406, 220.417, 224.669, 224.669, 180.406, 220.417, 305.473, 306.843, 313.949, 331.123]","[0.508, 0.452, 0.32, 0.306, 0.306, 0.452, 0.32, 0.041, 0.036, 0.013, -0.044]","[0.464, 0.355, 0.255, 0.144, 0.144, 0.355, 0.255, 0.066, 0.026, 0.02, 0.019]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
129,2410.23473v2,173.617,47.0,49.0,"[85.184, 94.898, 111.01, 112.238, 119.454, 134.449, 155.232, 156.153, 163.674, 164.697, 171.691, 172.449, 197.94, 208.664, 156.153, 164.697, 197.94, 112.238]","[0.764, 0.733, 0.68, 0.676, 0.652, 0.603, 0.534, 0.531, 0.507, 0.503, 0.48, 0.478, 0.394, 0.359, 0.531, 0.503, 0.394, 0.676]","[0.657, 0.523, 0.361, 0.339, 0.279, 0.262, 0.256, 0.246, 0.173, 0.173, 0.105, 0.103, 0.098, 0.078, 0.246, 0.173, 0.098, 0.339]","['entailment', 'neutral', 'neutral', 'contradiction', 'contradiction', 'neutral', 'contradiction', 'neutral', 'entailment', 'neutral', 'neutral', 'neutral', 'neutral', 'contradiction', 'neutral', 'neutral', 'neutral', 'contradiction']"
130,2501.00398v2,215.571,34.0,52.0,"[173.696, 177.685, 181.125, 183.621, 201.346, 208.598, 213.953, 220.692, 222.948, 220.692, 173.696, 177.685, 183.621]","[0.474, 0.46, 0.449, 0.441, 0.383, 0.359, 0.341, 0.319, 0.312, 0.319, 0.474, 0.46, 0.441]","[0.232, 0.207, 0.175, 0.15, 0.142, 0.117, 0.087, 0.085, 0.081, 0.085, 0.232, 0.207, 0.15]","['neutral', 'neutral', 'entailment', 'entailment', 'neutral', 'contradiction', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'entailment']"
131,2403.05821v2,235.836,27.0,57.0,"[111.718, 234.082, 234.698, 111.718, 234.082, 293.349]","[0.677, 0.275, 0.273, 0.677, 0.275, 0.08]","[0.675, 0.177, 0.164, 0.675, 0.177, 0.0]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
132,2412.15239v2,175.749,47.0,42.0,"[126.018, 141.485, 143.642, 145.399, 145.469, 147.693, 152.539, 145.399, 145.469, 141.485, 237.061, 255.497, 267.124]","[0.63, 0.579, 0.572, 0.567, 0.566, 0.559, 0.543, 0.567, 0.566, 0.579, 0.265, 0.205, 0.167]","[0.323, 0.262, 0.204, 0.203, 0.163, 0.138, 0.103, 0.203, 0.163, 0.262, 0.074, 0.068, 0.064]","['entailment', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
133,2407.03285v2,186.17,43.0,49.0,"[141.457, 185.853, 185.853, 219.306]","[0.58, 0.434, 0.434, 0.324]","[0.259, 0.123, 0.123, 0.077]","['neutral', 'neutral', 'neutral', 'neutral']"
134,2404.18137v2,206.242,37.0,55.0,"[114.554, 114.554, 156.611, 163.352, 177.591, 225.734, 246.138, 253.354, 290.235, 309.835]","[0.668, 0.668, 0.53, 0.508, 0.461, 0.303, 0.236, 0.212, 0.091, 0.026]","[0.64, 0.64, 0.33, 0.329, 0.307, 0.179, 0.158, 0.097, 0.049, 0.039]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
135,2412.05495v6,225.984,30.0,61.0,"[184.482, 187.504, 215.097, 222.51, 184.482, 222.51, 266.988]","[0.438, 0.428, 0.338, 0.313, 0.438, 0.313, 0.167]","[0.042, 0.038, 0.007, 0.007, 0.042, 0.007, 0.004]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
136,2411.17395v2,234.139,27.0,68.0,"[162.595, 192.837, 202.246, 205.838, 208.131, 215.394, 216.156, 216.462, 219.475, 220.031, 237.159, 238.758, 162.595, 192.837, 238.758, 205.838, 208.131, 215.394, 216.156, 216.462, 219.475]","[0.51, 0.411, 0.38, 0.368, 0.36, 0.337, 0.334, 0.333, 0.323, 0.321, 0.265, 0.26, 0.51, 0.411, 0.26, 0.368, 0.36, 0.337, 0.334, 0.333, 0.323]","[0.283, 0.243, 0.224, 0.197, 0.191, 0.18, 0.128, 0.126, 0.097, 0.097, 0.091, 0.089, 0.283, 0.243, 0.089, 0.197, 0.191, 0.18, 0.128, 0.126, 0.097]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
137,2412.15448v2,487.603,0,88.0,"[405.679, 433.893, 451.458, 457.551, 457.551, 433.893, 484.163, 515.186, 523.838, 537.658, 552.634, 559.157, 0]","[-0.289, -0.381, -0.439, -0.459, -0.459, -0.381, -0.547, -0.648, -0.677, -0.722, -0.772, -0.793, 0]","[0.045, 0.035, 0.004, 0.003, 0.003, 0.035, 0.003, 0.003, 0.002, 0.002, 0.002, 0.002, 0.0]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
138,2411.03299v2,131.254,61.0,26.0,"[98.301, 100.383, 124.933, 129.082, 138.878, 100.383]","[0.721, 0.714, 0.634, 0.62, 0.588, 0.714]","[0.293, 0.271, 0.256, 0.128, 0.104, 0.271]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
139,2403.06613v3,174.457,47.0,40.0,"[91.359, 136.942, 154.281, 155.248, 188.16, 196.612, 91.359, 136.942, 154.281]","[0.744, 0.594, 0.537, 0.534, 0.426, 0.398, 0.744, 0.594, 0.537]","[0.725, 0.372, 0.306, 0.273, 0.258, 0.246, 0.725, 0.372, 0.306]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
140,2406.10343v4,180.223,45.0,45.0,"[95.165, 152.907, 181.962, 201.16, 209.531, 201.16, 95.165]","[0.732, 0.542, 0.446, 0.383, 0.356, 0.383, 0.732]","[0.31, 0.251, 0.251, 0.208, 0.168, 0.208, 0.31]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
141,2408.16004v3,231.258,28.0,62.0,"[203.288, 211.147, 203.288]","[0.376, 0.351, 0.376]","[0.054, 0.051, 0.054]","['neutral', 'neutral', 'neutral']"
142,2404.19707v4,220.855,32.0,59.0,"[165.613, 171.767, 181.284, 181.359, 198.093, 210.285, 217.761, 227.851, 232.449, 198.093, 171.767, 227.851]","[0.5, 0.48, 0.449, 0.448, 0.393, 0.353, 0.329, 0.296, 0.281, 0.393, 0.48, 0.296]","[0.168, 0.114, 0.105, 0.092, 0.092, 0.062, 0.062, 0.059, 0.037, 0.092, 0.114, 0.059]","['contradiction', 'contradiction', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'contradiction', 'neutral']"
143,2408.17188v2,217.724,33.0,55.0,"[120.542, 140.392, 166.383, 177.24, 187.311, 208.92, 166.383, 177.24, 187.311, 311.145, 326.848]","[0.648, 0.583, 0.498, 0.462, 0.429, 0.358, 0.498, 0.462, 0.429, 0.022, -0.03]","[0.534, 0.424, 0.396, 0.335, 0.216, 0.212, 0.396, 0.335, 0.216, 0.086, 0.01]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
144,2409.02293v3,167.962,49.0,37.0,"[130.827, 133.501, 148.206, 165.327, 180.157, 180.157]","[0.614, 0.606, 0.557, 0.501, 0.452, 0.452]","[0.171, 0.134, 0.075, 0.049, 0.049, 0.049]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
145,2412.07587v6,226.931,30.0,57.0,"[163.476, 168.787, 173.386, 190.891, 200.207, 190.891, 168.787, 349.472]","[0.507, 0.49, 0.475, 0.417, 0.386, 0.417, 0.49, -0.104]","[0.51, 0.343, 0.141, 0.074, 0.068, 0.074, 0.343, 0.013]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
146,2411.02770v3,217.427,33.0,57.0,"[161.9, 168.035, 197.082, 198.0, 212.067, 216.49, 217.862, 198.0, 168.035, 217.862, 277.527]","[0.512, 0.492, 0.397, 0.394, 0.348, 0.333, 0.328, 0.394, 0.492, 0.328, 0.132]","[0.186, 0.171, 0.138, 0.125, 0.088, 0.084, 0.057, 0.125, 0.171, 0.057, 0.03]","['entailment', 'neutral', 'neutral', 'entailment', 'neutral', 'neutral', 'neutral', 'entailment', 'neutral', 'neutral', 'neutral']"
147,2409.18681v6,181.392,45.0,44.0,"[135.631, 167.984, 168.652, 179.403, 179.844, 182.645, 196.603, 196.692, 199.44, 135.631, 0]","[0.599, 0.492, 0.49, 0.455, 0.453, 0.444, 0.398, 0.398, 0.389, 0.599, 0]","[0.058, 0.046, 0.036, 0.036, 0.023, 0.02, 0.02, 0.016, 0.003, 0.058, 0.003]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
148,2410.12036v2,244.948,24.0,67.0,"[172.713, 186.392, 201.471, 230.472, 245.561, 245.561, 186.392]","[0.477, 0.432, 0.382, 0.287, 0.237, 0.237, 0.432]","[0.56, 0.101, 0.093, 0.066, 0.02, 0.02, 0.101]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
149,2408.13427v2,111.96,68.0,21.0,"[111.96]","[0.676]","[0.128]","['neutral']"
150,2407.14986v2,210.831,35.0,55.0,"[180.778, 204.701, 207.041, 209.848, 222.821, 239.799]","[0.45, 0.372, 0.364, 0.355, 0.312, 0.256]","[0.137, 0.12, 0.075, 0.069, 0.048, 0.034]","['neutral', 'entailment', 'neutral', 'neutral', 'neutral', 'neutral']"
151,2411.09216v2,230.319,29.0,53.0,"[141.875, 172.865, 189.168, 220.003, 228.938, 220.003, 228.938, 172.865, 267.07, 279.794, 300.183]","[0.578, 0.476, 0.423, 0.321, 0.292, 0.321, 0.292, 0.476, 0.167, 0.125, 0.058]","[0.415, 0.2, 0.156, 0.146, 0.119, 0.146, 0.119, 0.2, 0.032, 0.021, 0.011]","['contradiction', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'contradiction', 'neutral', 'neutral']"
152,2412.20317v3,321.106,0,91.0,"[218.317, 218.317, 450.586]","[0.327, 0.327, -0.436]","[0.074, 0.074, 0.0]","['neutral', 'neutral', 'neutral']"
153,2412.15322v2,240.037,26.0,64.0,"[199.634, 201.521, 214.037, 225.556, 227.086, 227.098, 227.098, 201.521, 214.037, 225.556, 261.296, 270.256, 312.308]","[0.388, 0.382, 0.341, 0.303, 0.298, 0.298, 0.298, 0.382, 0.341, 0.303, 0.186, 0.156, 0.018]","[0.211, 0.085, 0.075, 0.074, 0.061, 0.059, 0.059, 0.085, 0.075, 0.074, 0.01, 0.01, 0.004]","['entailment', 'neutral', 'contradiction', 'neutral', 'contradiction', 'neutral', 'neutral', 'neutral', 'contradiction', 'neutral', 'neutral', 'neutral', 'contradiction']"
154,2408.17188v2,243.127,25.0,62.0,"[206.883, 236.774, 240.58, 246.706, 263.411, 263.411]","[0.365, 0.266, 0.254, 0.234, 0.179, 0.179]","[0.121, 0.109, 0.099, 0.048, 0.047, 0.047]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
155,2406.04928v3,197.092,40.0,54.0,"[110.391, 138.673, 185.611, 187.975, 188.271, 138.673, 185.611, 187.975, 188.271, 226.147, 323.892]","[0.682, 0.589, 0.434, 0.427, 0.426, 0.589, 0.434, 0.427, 0.426, 0.301, -0.02]","[0.743, 0.286, 0.272, 0.128, 0.128, 0.286, 0.272, 0.128, 0.128, 0.062, 0.053]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
156,2410.09555v2,162.04,51.0,42.0,"[97.351, 126.802, 156.002, 164.824, 171.867, 184.533, 171.867, 184.533]","[0.724, 0.628, 0.532, 0.503, 0.48, 0.438, 0.48, 0.438]","[0.196, 0.158, 0.142, 0.131, 0.076, 0.067, 0.076, 0.067]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
157,2408.06427v2,288.177,10.0,75.0,"[185.935, 229.734, 277.448, 278.428, 283.005, 299.221, 283.005, 229.734, 277.448, 326.901, 328.575, 339.618]","[0.433, 0.289, 0.133, 0.129, 0.114, 0.061, 0.114, 0.289, 0.133, -0.03, -0.035, -0.072]","[0.281, 0.16, 0.119, 0.117, 0.106, 0.085, 0.106, 0.16, 0.119, 0.069, 0.066, 0.008]","['neutral', 'contradiction', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'contradiction', 'neutral', 'neutral', 'neutral', 'neutral']"
158,2404.18869v2,279.327,13.0,77.0,"[175.687, 242.747, 273.442, 278.372, 175.687, 242.747, 273.442, 278.372, 300.672, 313.758, 318.369]","[0.467, 0.247, 0.146, 0.13, 0.467, 0.247, 0.146, 0.13, 0.056, 0.013, -0.002]","[0.25, 0.12, 0.079, 0.064, 0.25, 0.12, 0.079, 0.064, 0.039, 0.039, 0.035]","['neutral', 'neutral', 'neutral', 'contradiction', 'neutral', 'neutral', 'neutral', 'contradiction', 'neutral', 'neutral', 'neutral']"
159,2408.13427v2,243.708,24.0,65.0,"[151.701, 199.159, 243.873, 243.873, 257.588, 269.042, 336.366]","[0.546, 0.39, 0.243, 0.243, 0.198, 0.16, -0.061]","[0.205, 0.186, 0.081, 0.081, 0.033, 0.026, 0.0]","['neutral', 'neutral', 'neutral', 'neutral', 'contradiction', 'contradiction', 'neutral']"
160,2412.03227v2,217.509,33.0,59.0,"[141.546, 154.058, 179.529, 190.547, 195.012, 204.425, 211.108, 204.425, 211.108, 282.01, 325.946]","[0.579, 0.538, 0.454, 0.418, 0.404, 0.373, 0.351, 0.373, 0.351, 0.118, -0.027]","[0.26, 0.132, 0.129, 0.103, 0.08, 0.08, 0.069, 0.08, 0.069, 0.021, 0.021]","['contradiction', 'neutral', 'neutral', 'contradiction', 'contradiction', 'contradiction', 'neutral', 'contradiction', 'neutral', 'neutral', 'neutral']"
161,2405.03910v2,166.437,50.0,30.0,"[126.816, 137.794, 156.42, 158.136, 169.619, 170.456, 158.136, 169.619, 198.751]","[0.628, 0.592, 0.53, 0.525, 0.487, 0.484, 0.525, 0.487, 0.391]","[0.28, 0.258, 0.229, 0.227, 0.204, 0.159, 0.227, 0.204, 0.105]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
162,2409.06948v2,233.958,28.0,69.0,"[171.413, 180.416, 181.69, 188.093, 211.028, 216.448, 226.86, 171.413, 180.416, 181.69, 188.093, 211.028, 216.448, 226.86, 257.28, 269.7, 282.092, 323.316]","[0.481, 0.452, 0.447, 0.426, 0.351, 0.333, 0.299, 0.481, 0.452, 0.447, 0.426, 0.351, 0.333, 0.299, 0.199, 0.158, 0.117, -0.018]","[0.475, 0.425, 0.369, 0.364, 0.312, 0.311, 0.31, 0.475, 0.425, 0.369, 0.364, 0.312, 0.311, 0.31, 0.209, 0.203, 0.176, 0.0]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
163,2410.00908v2,217.596,33.0,57.0,"[154.279, 158.896, 171.135, 173.981, 195.074, 195.332, 201.367, 225.042, 195.332, 171.135, 225.042, 365.079]","[0.537, 0.522, 0.482, 0.473, 0.403, 0.403, 0.383, 0.305, 0.403, 0.482, 0.305, -0.155]","[0.172, 0.172, 0.149, 0.118, 0.111, 0.109, 0.104, 0.101, 0.109, 0.149, 0.101, 0.021]","['entailment', 'entailment', 'neutral', 'neutral', 'neutral', 'contradiction', 'neutral', 'neutral', 'contradiction', 'neutral', 'neutral', 'neutral']"
164,2403.11010v3,149.063,55.0,29.0,"[83.63, 100.273, 118.988, 132.77, 132.885, 139.383, 143.004, 157.97, 83.63, 100.273, 143.004, 157.97]","[0.77, 0.715, 0.653, 0.608, 0.608, 0.586, 0.574, 0.525, 0.77, 0.715, 0.574, 0.525]","[0.474, 0.33, 0.241, 0.216, 0.205, 0.204, 0.19, 0.159, 0.474, 0.33, 0.19, 0.159]","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
165,2412.14918v3,139.943,58.0,28.0,"[119.903, 146.729, 153.196]","[0.65, 0.562, 0.541]","[0.358, 0.269, 0.124]","['neutral', 'neutral', 'neutral']"
166,2412.03848v3,241.108,25.0,67.0,"[194.63, 196.528, 205.154, 213.063, 215.198, 230.231, 233.624, 194.63, 196.528, 205.154, 213.063, 215.198, 230.231, 233.624, 267.12, 285.402]","[0.405, 0.399, 0.37, 0.344, 0.337, 0.288, 0.277, 0.405, 0.399, 0.37, 0.344, 0.337, 0.288, 0.277, 0.167, 0.107]","[0.184, 0.182, 0.139, 0.116, 0.111, 0.105, 0.099, 0.184, 0.182, 0.139, 0.116, 0.111, 0.105, 0.099, 0.001, 0.001]","['contradiction', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'contradiction', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
167,2401.07317v2,358.757,0,89.0,"[287.075, 299.784, 331.377, 331.739, 332.516, 335.54, 337.683, 350.291, 355.338, 358.409, 287.075, 299.784, 331.377, 332.516, 358.409, 335.54, 337.683, 350.291, 355.338]","[0.101, 0.059, -0.045, -0.046, -0.048, -0.058, -0.065, -0.107, -0.123, -0.133, 0.101, 0.059, -0.045, -0.048, -0.133, -0.058, -0.065, -0.107, -0.123]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['contradiction', 'entailment', 'neutral', 'neutral', 'neutral', 'entailment', 'neutral', 'neutral', 'neutral', 'neutral', 'contradiction', 'entailment', 'neutral', 'neutral', 'neutral', 'entailment', 'neutral', 'neutral', 'neutral']"
168,2409.06948v2,252.03,22.0,70.0,"[167.853, 192.482, 238.229, 238.229, 167.853, 192.482, 255.632, 261.222, 273.207, 311.555, 330.569]","[0.493, 0.412, 0.262, 0.262, 0.493, 0.412, 0.204, 0.186, 0.147, 0.021, -0.042]","[0.353, 0.29, 0.151, 0.151, 0.353, 0.29, 0.083, 0.063, 0.044, 0.027, 0.024]","['contradiction', 'neutral', 'neutral', 'neutral', 'contradiction', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
169,2407.00037v2,156.416,53.0,37.0,"[139.175, 173.658]","[0.587, 0.474]","[0.171, 0.091]","['neutral', 'neutral']"
170,2410.20476v2,288.106,10.0,88.0,"[253.716, 254.874, 273.624, 275.013, 275.398, 278.04, 281.421, 282.746, 283.676, 293.408, 294.828, 295.708, 254.874, 293.408, 273.624, 275.013, 275.398, 281.421]","[0.211, 0.207, 0.145, 0.141, 0.139, 0.131, 0.12, 0.115, 0.112, 0.08, 0.076, 0.073, 0.207, 0.08, 0.145, 0.141, 0.139, 0.12]","[0.07, 0.064, 0.057, 0.05, 0.049, 0.044, 0.04, 0.039, 0.037, 0.034, 0.033, 0.033, 0.064, 0.034, 0.057, 0.05, 0.049, 0.04]","['neutral', 'neutral', 'neutral', 'neutral', 'contradiction', 'contradiction', 'neutral', 'neutral', 'contradiction', 'entailment', 'neutral', 'neutral', 'neutral', 'entailment', 'neutral', 'neutral', 'contradiction', 'neutral']"
