#,question_id,pubmed_id,answer,question,ground_truth
144,145,2412.07587v6,"An imbalance is spotted when the volume of news about a stock (or sector) deviates from its proportional weight in the market. If coverage is higher than its sector weight, it’s over‑represented; if lower, under‑represented. This mismatch signals hype.",How is an imbalance in representation identified as part of a hype scenario?,An imbalance is identified by evidence of over or under-representation in news coverage compared to the stock's weight in its sector.
145,146,2411.02770v3,"Yes. A symmetric α‑stable vector \(S_{\alpha}\) can be written as a Gaussian mixture:   \[ S_{\alpha}= \sqrt{2}\,A_{\alpha}\,N, \]   where \(N\sim\mathcal N(0,I_d)\) and \(A_{\alpha}\) is a positive random scalar (defined in (15)). Thus \(S_{\alpha}\) is a scale mixture of Gaussians.",Can symmetric stable random vectors be decomposed into Gaussian mixtures?,"Yes, symmetric stable random vectors can be decomposed into Gaussian mixtures."
146,147,2409.18681v6,"Two systems \(x_{n+1}=f(x_n)\) and \(y_{n+1}=g(y_n)\) are topologically conjugate if there exists a homeomorphism \(h:X\to Y\) such that    \[ y=h(x),\qquad h\circ f(x)=g\circ h(x)\quad\forall x\in X. \]",What is the condition for two systems to be topologically conjugate?,Two systems are topologically conjugate if there exists a homeomorphism \( h: X \rightarrow Y \) such that \( y = h(x) \) and \( h \circ f(x) = g \circ h(x) \).
147,148,2410.12036v2,"Training energy‑based models is hard because their normalising constant is intractable, so maximum‑likelihood optimisation is impossible. This forces reliance on approximate methods (contrastive divergence, score‑based, energy‑discrepancy), which are difficult to converge and often unstable.",What is the main challenge in training energy-based models?,"The main challenge in training energy-based models is that the normalising constant is intractable, preventing optimisation using maximum likelihood estimation."
148,149,2408.13427v2,"Yes. Geoff Marcy led the discovery of 70 of the first 100 exoplanets ever found, including the first multi‑planet system orbiting a Sun‑like star.",Did Geoff Marcy lead the discovery of any exoplanets?,Yes.
149,150,2407.14986v2,Yes. A large structured singular value (μ) signals high sensitivity to perturbations and potential instability; a small μ indicates robust stability of the flow.,Does the structured singular value indicate flow stability?,"Yes, a large value of the structured singular value indicates that the system is sensitive to small perturbations that can cause instability."
150,151,2411.09216v2,"Yes. Conflict‑free gradients give stable, low‑variance updates in oxRNA, matching experimental Lps without degrading structural properties, and outperform vanilla gradients that oscillate or get trapped.",Does the use of conflict-free gradients improve optimization stability in RNA modeling?,"Yes, conflict-free gradient updates yield significantly more stable optimization than vanilla gradients."
151,152,2412.20317v3,"The attractive force is   \[ F_{a,i,j}(d)=\frac{a_{i,j}\,d^{2}}{k}\,, \]   where \(d=\|x_i-x_j\|\), \(a_{i,j}\) is the edge weight, and \(k>0\) is a constant.",What is the attractive force formula in the Fruchterman-Reingold force model?,"The attractive force formula is \( F_{i, j}^{\mathrm{a}}(d) := \frac{a_{i, j} d^{2}}{k} \)."
152,153,2412.15322v2,Yes. MMAudio can synthesize audio directly from text prompts without additional fine‑tuning.,Can the model generate audio from text input?,"Yes, but it generates unintelligible mumbles when prompted to do so."
153,154,2408.17188v2,"The cell is assigned to subtype l with probability \(p_l\) (for \(l=1,\dots,L\)), and \(\sum_{l=1}^L p_l=1\). Thus the probability that a surviving cell belongs to some subtype is 1, with the specific subtype given by its \(p_l\).",What is the probability that a tumor cell belongs to one of the subtypes after initial treatment?,"The probability is $\mathbb{P}\left(N_{l}=1\right)=p_{l}$ for each subtype $l \in\{1,2, \ldots, L\}$."
154,155,2406.04928v3,"Accurate Above‑Ground Biomass (AGB) estimates quantify carbon stocks, enabling reliable carbon‑offsetting schemes and climate‑change mitigation. They also correlate with biodiversity metrics, revealing forest structure and health, guiding conservation and land‑use policies. Thus, precise AGB data underpin global efforts to curb emissions, protect ecosystems, and meet UNFCCC and biodiversity targets.",Why is accurate estimation of Above Ground Biomass important for global challenges?,"Accurate estimation of Above Ground Biomass (AGB) is crucial for addressing climate change and biodiversity loss, as it helps in understanding carbon storage and ecosystem health. Reliable AGB data supports efforts to monitor environmental changes and implement conservation strategies effectively."
155,156,2410.09555v2,"Yes. The socially optimal price in each queue contains a term – Vᵢ(λᵢ)·D′ᵢ(λᵢ), which captures the local delay externality. Thus local delay externalities directly influence the optimal price.",Are socially optimal prices influenced by local delay externalities?,Yes.
156,157,2408.06427v2,"No. Different regularization factors (1DE, 10., 1F) produced no significant change in correlation or linear‑regression accuracy versus the true values.",Does the selection of different spectral diffusion regularization factors show significant differences in correlation or linear regression to truth?,"No, the multi-compartment flow calculated from spectral diffusion with different regularization factors showed no significant difference in correlation or linear regression to truth."
157,158,2404.18869v2,"Yes. Diffusion models learn a score function or reverse‑process that can be sampled repeatedly, producing many independent draws from the target distribution.",Can diffusion models be used to generate more samples from a distribution?,Yes.
158,159,2408.13427v2,"Guth proposed that an inflationary era rapidly expanded the early Universe, driving it toward near‑flat geometry (Ω≈1) and thereby solving the horizon problem.",What did Guth propose about the inflationary era's effect on the Universe's flatness?,"Guth proposed that an inflationary era increased the flatness of the Universe, allowing for equilibration of temperature and density."
159,160,2412.03227v2,"Yes. With probability p the innovation is feasible, and then exactly one project \(\hat j\in J\) exists that, if examined, yields a successful innovation. All other projects are dead ends.",Is there a single project that leads to successful innovation if examined?,"Yes, there is a single project $\hat{j} \in J$ which, if examined, will lead to a successful innovation."
160,161,2405.03910v2,"Yes. A super‑population variance estimator that is consistent for the asymptotic variance of the estimator can serve as a conservative bound in the finite‑population setting. When the sample size is a vanishing fraction of the population, the finite‑population variance converges to the super‑population variance, so the super‑population estimator over‑estimates the finite‑population variance and is therefore conservative.",Can consistent variance estimators derived via a super-population analysis be reasonable conservative variance estimators for finite populations?,"Yes, consistent variance estimators derived via a super-population analysis are often reasonable conservative variance estimators when viewed through the lens of a finite-population analysis."
161,162,2409.06948v2,"Equivariant filters exploit the Lie‑group symmetry of the LiDAR‑inertial system, keeping the error dynamics invariant under state transformations. This yields:    - **Consistent state estimates** – error covariance remains accurate, reducing bias growth.   - **Robustness to sensor noise and bias** – online calibration of IMU biases is built into the filter.   - **Lower drift** – invariant error dynamics prevent error accumulation in pose and velocity.   - **Efficient computation** – fewer parameters and closed‑form updates speed up real‑time operation.    Overall, the filter delivers tighter pose accuracy, lower RMSE, and more reliable navigation in challenging environments.",How does the equivariant filter improve LiDAR-Inertial Odometry performance?,"The equivariant filter enhances LIO performance by addressing traditional algorithm issues through a new error definition based on symmetry, incorporating gravity constraints, and achieving better accuracy and robustness without additional computational resources."
162,163,2410.00908v2,"The finite‑\(N\) multiplicative extension of classical cumulants is defined by    \[ \Phi_{\pi,\tau}^{\,r}(\mathbf M\,s)    \;=\;\sum_{G\in\mathcal P_{\pi}}       k_{\#p_{\tau}|G}\;       \operatorname{Tr}_{p_{\!M}\,\lambda_{G1}}\!\cdots       \operatorname{Tr}_{p_{\!M}\,\lambda_{GpG}}\!, \]  i.e. sum over all partitions \(G\) of \(\pi\), weight each by the classical cumulant \(k_{\#p_{\tau}|G}\) and multiply the traces of \(\mathbf M\) according to the cycle lengths \(\lambda_{G}\).",What is the finite $N$ multiplicative extension of classical cumulants?,"The finite $N$ multiplicative extension of classical cumulants is defined as \(\Phi_{\pi, \tau}[M]=\prod_{G \in \pi} k_{p_{G}}\left(\operatorname{Tr}\left(M^{\lambda_{1}^{G}}\right), \ldots, \operatorname{Tr}\left(M^{\lambda_{p_{G}}^{G}}\right)\right)\)."
163,164,2403.11010v3,"Rising demand uncertainty forces more safety stock into the supply chain, usually downstream. Higher uncertainty → larger safety‑stock buffers, longer planned lead times, and higher overall costs. Excessive stock can worsen schedule instability, so firms may shift to safety‑lead‑time or alternative hedging strategies to balance service level and cost.",How does rising demand uncertainty affect the placement of safety stock in the supply chain?,Rising demand uncertainty leads to an increasing tendency to place safety stock downstream in the supply chain.
164,165,2412.14918v3,"Pulse sequences directly set two‑qubit gate fidelity in exchange‑only qubits. Shorter, optimized sequences reduce exposure to charge‑noise and decoherence, while incorporating dynamical‑decoupling‑style shuffling of spins keeps each spin in each dot equally, improving noise resilience. Gate‑specific sequences (iSWAP, CX, SWAP, CXSWAP) are tailored to the gauge‑dot configuration, so the choice and length of the pulse sequence determine both speed and error rate of the gate.",How do pulse sequences impact the performance of two-qubit gates in exchange-only spin qubits?,"Pulse sequences determine how effectively two-qubit gates like CX, CZ, and iSWAP operate within exchange-only spin qubits. Optimizing these sequences can lead to significant reductions in sequence length (up to 43%), improving gate performance by making operations faster and potentially more reliable."
165,166,2412.03848v3,"Yes. INRetouch consistently yields more realistic, artifact‑free results than competing methods, closely matching the intended edits.",Does the INRetouch method produce more realistic outputs compared to other methods?,Yes.
166,167,2401.07317v2,"\[ \|x\|=\Big(\sum_{i=1}^{n}x_i^{\,2}\Big)^{1/2}\,, \] for \(x=(x_1,\dots ,x_n)\in\mathbb{R}^n\).",What is the Euclidean norm defined for all \( x \in \mathbb{R}^{n} \)?,The Euclidean norm is defined as \( \|x\|=\left(\sum_{i \in[n]} x_{i}^{2}\right)^{\frac{1}{2}} \).
167,168,2409.06948v2,"Robustness lets LiDAR‑Inertial Odometry keep accurate state estimates when motion is irregular, fast, or degenerate—e.g., sudden turns, high‑speed urban driving, or sensor‑parameter errors—so the system remains reliable under real‑world disturbances.",Why is robustness important in motion scenes for LiDAR-Inertial Odometry systems?,"Robustness is crucial because it ensures that LIO systems maintain high accuracy even in challenging motion scenarios, which are common in real-world applications where conditions can be unpredictable."
168,169,2407.00037v2,"A planner can use noisy signals to help eliminate undesired equilibria. By giving agents some (imperfect) information about others’ types, the planner can make the desired equilibrium more robust and discourage deviations, improving full implementation.",Why might a planner want agents to receive noisy signals about the types of other agents?,"A planner might want this because noisy signals can provide enough additional information to eliminate undesired equilibria and make certain social choice rules fully implementable, ensuring all outcomes are desirable."
169,170,2410.20476v2,Yes. All voters participate in every round.,Does every voter participate in each round of voting?,Yes.
